Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
17.3334813000065,19.82331789228807,-0.03437396920080074,169.3121917946883
18.72322456777402,19.84529163980505,-0.03596355669457178,170.0744449258796
20.22439301995069,19.86603314569955,-0.03496269650177045,170.8088586557077
21.84592037257491,19.88433449354773,-0.035624562816791,171.4730187136767
23.59745661855452,19.90034103066834,-0.03441274020080161,172.0896411982395
25.48942545646251,19.91335501381124,-0.03517456447224773,172.6795454407866
27.53308632379027,19.92622527059274,-0.03511361051761656,173.2279280567828
29.74060140382991,19.93670798501363,-0.03445214823318168,173.711728732955
32.12510800495419,19.94491355981081,-0.03397640933887786,174.1926389967863
34.70079674303671,19.95069713550083,-0.03710915178624687,174.6276717732612
37.48299599228879,19.96050826522612,-0.03389332424634446,175.0418336741641
40.48826310709637,19.96559201242056,-0.03477858380381323,175.4008871505135
43.7344829577311,19.96984372336468,-0.03470016077400069,175.7682696779074
47.24097436634256,19.97227872717416,-0.03529039269774683,176.089403599199
51.02860507664759,19.97893634451393,-0.03388872548766884,176.3765548052412
55.11991594152352,19.98268660269271,-0.03462361946711983,176.691532568593
59.53925506756597,19.98446577622076,-0.03486939458041007,176.937900120525
64.31292271493072,19.98717334634382,-0.03517381711047979,177.191417545172
69.46932781478198,19.99103639584405,-0.03372690524208204,177.4144077618719
75.03915703581053,19.99193666802043,-0.03552186912927446,177.6374657876762
81.05555740596746,19.99247223761981,-0.03367099135899454,177.8271362258492
87.55433357622518,19.99542685772506,-0.03422335526086464,178.0198956643201
94.57416090031759,19.99523062094734,-0.03552383821617124,178.1969185356028
102.1568155985362,19.99817354540325,-0.03772120877339394,178.3778902350686
110.3474233753239,19.99903612365817,-0.03357987406025791,178.5376827357289
119.1947279702347,20.00176698528093,-0.03166609783670965,178.6817722977076
128.7513812404553,20.00118241605599,-0.03344138757930464,178.8364131213078
139.0742565012161,20.00262898025076,-0.03260649156934462,178.9839334106497
150.2247869888375,20.00332376827294,-0.03379661526219068,179.0978746961134
162.2693314606663,20.00370809807596,-0.03549842280448911,179.2381584944447
175.2795691076486,20.00499141917171,-0.03576210074307418,179.3572355496937
189.3329261297287,20.00461795773048,-0.03552003307342874,179.4884954074655
204.5130365127147,20.00575893781806,-0.03390290679305063,179.583469335429
220.9102397487508,20.00673990355896,-0.03676249423055065,179.7243563197716
238.6221184624416,20.00629511532428,-0.03395143643751609,179.8291550148077
257.7540791421158,20.00818567842894,-0.03145632486149147,179.9374217744136
278.4199794322813,20.00507185010324,-0.03451981146882605,-179.9406772535992
300.742805720376,20.00653221786182,-0.03699196665487146,-179.8498631870361
324.8554050502788,20.00648244527751,-0.03635132590526634,-179.715911647354
350.9012757182982,20.00565023778094,-0.03901884803137565,-179.5987572386169
379.0354212566433,20.00774390241988,-0.03749111592139646,-179.4845498278773
409.4252728865426,20.00812941973915,-0.03537207175850415,-179.3692169039466
442.2516859307438,20.00849989961603,-0.03060725723544308,-179.2357970124967
477.710016115164,20.00679645629702,-0.03839914041209849,-179.1199530335844
516.0112821649859,20.00920721818742,-0.03295714939400392,-178.9674881523927
557.3834216140074,20.0076499007305,-0.03955290528984354,-178.8468695712486
602.0726473007724,20.00929472700661,-0.03139055191985175,-178.6736278216245
650.3449126242365,20.00882508311015,-0.03448911104799875,-178.4936268855981
702.4874942789702,20.00901731809104,-0.03315988928435677,-178.3515855075308
758.8107018890151,20.00516287732312,-0.03974812884276423,-178.1629714010872
819.6497247147304,20.00507140156447,-0.03688286300024382,-177.9728802754087
885.3666264227195,20.0070752127175,-0.0378079253250781,-177.7687829793142
956.3524997900382,20.00389980461775,-0.03478760956206224,-177.5977132766278
1033.029794165712,20.0000860272182,-0.0315439548353869,-177.3431890402674
1115.854829540719,20.00213751861452,-0.03079532758226833,-177.1246173750385
1205.320512188067,19.99401350441729,-0.03734008356974317,-176.843905951328
1301.959268034234,19.99628208237311,-0.03748650765196038,-176.5893725567355
1406.34621121901,19.98768350002661,-0.0380752091771009,-176.2972534388014
1519.102566700308,19.9913539484784,-0.03422594627467225,-175.9953920638144
1640.899367272585,19.98394262703999,-0.03771786510605593,-175.6256958207463
1772.46144700034,19.97752566581195,-0.04235051314916979,-175.248632982191
1914.571754832464,19.97110767204789,-0.04064157800704693,-174.841454473559
2068.07601406833,19.96879210047129,-0.03546202517577754,-174.3886548899562
2233.887755405134,19.95911402343068,-0.03747487184127149,-173.9585718072779
2412.993753518818,19.95620383695272,-0.03719648393877525,-173.4677096402143
2606.459899532815,19.94813690222446,-0.03808338296498068,-172.946087994276
2815.437544322516,19.93063701339181,-0.04220166360550376,-172.3481458353132
3041.170350405776,19.92217631337487,-0.03575693298675121,-171.7394130410096
3285.001693196046,19.90555747152045,-0.04047521904085906,-171.0845655329614
3548.382655664472,19.89920846602192,-0.02525846872019439,-170.351417157551
3832.880663988451,19.87020153792738,-0.03833024157158257,-169.5806284784636
