Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1439.585126976225,-4.669526384293968,-64.71304262130157,-66.80684801955817
1495.348781221221,-4.670620608172422,-63.39972516716892,-66.26162785292036
1553.272491913374,-4.685067444019759,-62.88670731566305,-66.01308206024879
1613.439930826316,-4.713188477751146,-63.26524354783405,-65.84627083923397
1675.938010836804,-4.714452451429763,-62.41078910494436,-62.07593705857044
1740.857011471835,-4.712418683079944,-62.51430379823987,-62.2038464477597
1808.290709318935,-4.715326902657523,-61.88029501431036,-70.17929061830037
1878.336513488017,-4.707748720477969,-62.06896509523193,-68.96064096927807
1951.095606320481,-4.703098404855883,-61.66648304343045,-69.93939986945301
2026.673089548803,-4.711650108792647,-61.6210800491647,-74.03515473959831
2105.178136117755,-4.701046458163019,-61.68571717905617,-76.17239442226099
2186.724147886557,-4.712110617009399,-61.03825608219648,-73.6807278443689
2271.428919439774,-4.73337874709944,-61.29277632340716,-76.87486823892212
2359.414808243569,-4.736505199415942,-61.09580348507371,-74.87464403389627
2450.808911393114,-4.713471356149455,-61.14249548635335,-80.90465170481087
2545.743249206496,-4.725796245427338,-61.14686668614819,-80.4013253355821
2644.354955930269,-4.728911628362618,-61.04227967115381,-81.9165924367373
2746.786477832185,-4.738384623886816,-60.83078343166177,-83.47623212092958
2853.185778967223,-4.739938114632879,-61.15414872897929,-84.44973586529164
2963.706554914151,-4.751035187292757,-61.02814096421429,-89.44520595584663
3078.508454791373,-4.771722270075825,-61.33178099974903,-90.8786790794796
3197.757311872764,-4.756933817761577,-60.90889854650266,-89.45109609096006
3321.625383136623,-4.754148476016777,-60.90682127799174,-90.01924837882412
3450.29159809377,-4.741291882450581,-61.47187565664385,-92.8003549078332
3583.941817254234,-4.731365362353756,-61.62837339243115,-94.84725307060535
3722.769100605884,-4.730571978650193,-61.87891215941869,-94.22618447514088
3866.973986492825,-4.720649778059759,-61.5552619512081,-94.56766053394767
4016.764781296405,-4.732451901473457,-61.94446964717226,-97.78706139615389
4172.357860337288,-4.728481482737015,-61.71913180144126,-99.67752401903944
4333.977980433238,-4.724343129912722,-61.9799734670158,-101.769029132153
4501.858604564123,-4.736023122819696,-61.53172767620676,-104.0008318149539
4676.242239113109,-4.765704743577496,-61.83900297744717,-99.79772847330048
4857.380784171206,-4.767625143063691,-62.10611186817025,-99.8700135730183
5045.535897411194,-4.759061001257676,-61.29695884180619,-96.84155871935911
5240.979372056512,-4.758593409027529,-61.54962421218427,-100.3362463713368
5443.993529491152,-4.743157522513185,-61.37074491591532,-103.4227740147732
5654.871627077637,-4.736703137551331,-61.68184606697103,-100.9474764153293
5873.918281772205,-4.744814934952897,-61.02887009357707,-106.8829728799367
6101.449910149134,-4.760285867341512,-61.6343122977776,-102.5912115391445
6337.795185469787,-4.739467345636351,-62.33637953984223,-105.0471563100923
6583.295512456686,-4.739001094259277,-60.62182734603753,-106.1349510244339
6838.305520458342,-4.738446913079622,-60.54060558704101,-102.1248697775663
7103.193575717326,-4.753387024472085,-60.48973503841624,-104.3034887411035
7378.342313481497,-4.760681541993796,-60.24420309074649,-108.4683332501206
7664.149190727045,-4.749250454000417,-59.93326644989357,-107.9904476676423
7961.027060291774,-4.759798373357364,-60.41635717277008,-112.0868579900713
8269.404767247968,-4.75421840238346,-59.94511147684594,-104.9386053747777
8589.727768376304,-4.753430429113977,-59.32660604735596,-113.6250017710566
8922.458775635656,-4.741929662938445,-59.78149687546187,-112.0069245710347
9268.0784245583,-4.726945521460101,-58.9813922496689,-112.7615510845854
9627.085968536014,-4.738894658725505,-59.05041765735422,-117.7034877017741
10000,-4.747603374202639,-59.20491001225959,-116.1293106581265
